Card Name,General Description,Central Figure,Supporting Elements,Background Details,Art Style,Text and Borders,Mood and Symbolism,Upright Meaning,Reversed Meaning,Keywords,Symbolism,Variations
The Hanged Man,"The card features a minimalist black-and-white design with intricate geometric patterns, a whimsical yet detailed style, and a focus on subtle symbolism.","A large, elongated starburst shape at the center symbolizes illumination or enlightenment. Near the bottom, a circular frame contains a stylized figure of a curled-up cat, evoking stillness, introspection, and comfort.","The background is filled with dense, repetitive linework forming hexagonal patterns, stars, crosses, and circular symbols, creating a cosmic dimension. Small decorative icons, such as stars and orbs, are in the corners of the rounded rectangular border.",Densely packed linework with geometric patterns and celestial elements like stars and crosses add depth and motion to the otherwise minimalist design.,"Minimalist black-and-white with intricate patterns and abstract elements, blending whimsy and cosmic symbolism.","A rounded rectangular border with celestial icons in the corners frames the patterns. '12' is displayed at the top in a black bubble-like font, while 'THE HANGED MAN' appears at the bottom in a hand-drawn serif font with a star icon.","Themes of suspension, pause, and reflection. The curled cat and starburst evoke a softer, more meditative interpretation, emphasizing the value of stillness and new perspectives.","Surrender, letting go, and seeing things from a new perspective. A pause for introspection and a shift in understanding.","Resistance to change, unwillingness to let go, or stagnation. A struggle to gain clarity or perspective.","['Pause', 'Reflection', 'Enlightenment', 'Surrender', 'Perspective']","The starburst represents enlightenment and illumination, while the curled-up cat signifies introspection and stillness. The celestial patterns reinforce themes of cosmic balance and perspective.","[""The Hanged Man""]"
Temperance,"A figure with a radiant sun for a head stands with 1 foot on land and the other in water, holding 2 cups with water flowing between them. The background features mountains, flowers, and a rising sun.","The figure, faceless with a circular sun in place of a head, represents balance and moderation.","The 2 cups signify flow and harmony, while the water connects them in an unbroken stream. The figure's position suggests balance between the material and spiritual worlds.","The background includes jagged mountains, a calm river, and blooming flowers, suggesting tranquility and growth.","A minimalist black-and-white style with detailed linework, evoking a timeless and meditative atmosphere.","The title 'Temperance' appears at the bottom in a Gothic-style font, with a black border framing the card.","The card exudes themes of balance, moderation, and spiritual harmony, with an emphasis on flowing unity.","Balance, moderation, harmony, and self-control.","Imbalance, excess, or lack of self-control.","['Balance', 'Moderation', 'Harmony', 'Self-Control', 'Spirituality']","The sun-headed figure symbolizes enlightenment and balance, while the flowing water between the cups emphasizes connection and unity.","[""Temperance""]"
The Devil,"A devilish figure lounges in a vivid red chair, exuding an air of temptation and passion. The card uses sharp, angular patterns and striking contrasts to highlight its theme.","A red-clad figure with goat-like features, including horns and an elongated face, sits leisurely on a chair. They hold a glass of wine in 1 hand, representing indulgence and self-gratification.","Background features sharp, red, and black triangular shards interspersed with fragmented imagery, suggesting chaos and enticement. Collage-like photos are integrated into the composition, blending human figures and mysterious symbols.","A dark backdrop filled with jagged red shapes and scattered photographs, creating a fractured and surreal atmosphere.","Modern collage with bold geometric designs and a vivid color palette dominated by reds and blacks, evoking intensity and allure.","The Roman numeral 'XV' appears at the top, while 'THE DEVIL' is written at the bottom in a classic serif font. The card is framed by a plain white border.","This card embodies passion, indulgence, and the pursuit of desires. It warns of potential consequences when chasing temptation without regard for others.",A pursuit of passion and inner fire that can lead to indulgence and temptation. It encourages self-awareness to avoid causing harm while following 1’s desires.,Uncontrolled desire and selfish indulgence that lead to disregard for others’ experiences and well-being. It cautions against thoughtless actions and unchecked hunger for gratification.,"['Temptation', 'Indulgence', 'Desire', 'Passion', 'Self-Awareness']","The red chair represents indulgence and luxury. The goat-like figure symbolizes primal instincts and temptation, while the wine glass and fractured imagery highlight excess and chaos.","[""The Devil""]"
The Tower,"A tall, rectangular brick tower is depicted in a highly geometric and minimalist style. The bricks are arranged in stark black and white, with a jagged red line symbolizing a crack or rupture, conveying destruction or instability.","The tower stands at the center of the card, with a dramatic red explosion at its base, radiating outward to indicate collapse or catastrophic change. Above the tower, a large circle dominates the sky, divided into horizontal black and white stripes, suggesting celestial or universal forces at play.","The gradient background transitions from dark at the top to light near the middle, with pixelated dots fading toward the bottom, creating a sense of disintegration or shifting perspectives.","A gradient transitioning from dark gray at the top to light gray at the bottom, creating depth and atmosphere. At the top, a circular motif with alternating horizontal light and dark lines resembles a celestial body or eclipse. Dot patterns on either side of the tower fade outward, adding a sense of dispersion and dynamism.","Minimalist and modern, with bold contrasts of black, white, and red. Sharp lines and geometric elements emphasize the dramatic energy of the card.","The card is labeled 'THE TOWER' in bold, serif-style white text near the bottom, against a solid black background. The number '#16' is subtly placed in the lower-left corner, referencing its position in the Major Arcana.","Themes of sudden upheaval, revelation, and destruction of false structures to make way for truth. The crack and explosion symbolize the breaking of illusions or outdated beliefs, while the celestial circle suggests cosmic influence and necessary transformation.","Sudden upheaval, chaos, and revelation. Represents the destruction of false structures and the need to rebuild with greater clarity and truth.",Resistance to change or an unwillingness to let go of illusions. A warning to face necessary transformations to avoid prolonged instability.,"['Upheaval', 'Revelation', 'Destruction', 'Transformation', 'Truth']","The jagged red crack and explosion represent breaking down illusions or false structures. The striped celestial circle suggests cosmic forces guiding necessary change, and the gradient background symbolizes shifting perspectives.","[""The Tower""]"
The Star,"A bright yellow star dominates the center of the card, radiating outward with angular beams of light against a background of purple and blue geometric patterns. The design evokes a sense of celestial wonder and guidance.","The yellow star, drawn with sharp, symmetrical edges, is the focal point of the card.","Surrounding the star are smaller white dots connected by thin lines, resembling constellations or guiding lights.","The backdrop features a mix of deep purple and blue, arranged in triangular sections that create a radial pattern, enhancing the star's brilliance.","A modern, bold aesthetic with a strong emphasis on geometric shapes and sharp contrasts. The use of reflective elements adds a dynamic quality.","The title 'The Star' is positioned at the bottom in an ornate, whimsical font. The card has no distinct border, allowing the design to extend seamlessly to the edges.","The card exudes hope, inspiration, and a sense of cosmic alignment, symbolized by the radiant star and its guiding presence.","Hope, inspiration, renewal, serenity, and guidance.","Despair, lack of faith, disconnection, or feeling lost.","['Hope', 'Inspiration', 'Renewal', 'Guidance', 'Serenity']","The star represents guidance, optimism, and a connection to the divine or universal truth, while the constellation-like elements suggest a sense of direction and alignment.","[""The Star""]"
The Moon,"The card depicts a surreal collage, featuring a serene, crowned woman in a circular frame at the top, hands forming gestures below, and a mystical landscape with a dog and ancient ruins at the bottom.","A serene, pale-faced woman with closed eyes, wearing a jeweled crown, enclosed in a golden circular frame.","2 hands form symmetrical gestures below the woman, while a golden dog figure stands near ancient ruins in a mystical landscape with a glowing moon above.","The lower background features ruins and nature, with shadowy hills and a river running through. A tower and an animal add depth to the composition, creating a dreamlike scene.","A mixed-media collage with elements of classical portraiture and modern surrealism, using rich colors and intricate details.",The text 'XVIII The Moon' is written at the bottom in a modern sans-serif font. There is no visible border.,"The card conveys mystery, intuition, and the subconscious. The surreal elements evoke a sense of navigating dreams and hidden truths.","Illusion, intuition, and navigating the subconscious. A time of uncertainty, dreams, and unseen truths.","Clarity, overcoming fear, or unveiling hidden truths. Moving beyond illusions to see clearly.","['Intuition', 'Illusion', 'Dreams', 'Subconscious']","The crowned woman represents intuition and the subconscious. The moon symbolizes cycles and the unseen, while the ruins and gestures suggest a journey into hidden realms.","[""The Moon""]"
The Sun,"The card features a cheerful and minimalistic design with a playful, pastel color palette dominated by yellow, lavender, and green. The overall style is lighthearted and whimsical, radiating warmth and positivity.","A bright, stylized sun sits at the top center, with a golden-yellow core and evenly spaced triangular rays extending outward. Beneath the sun stands a serene white llama, its eyes closed and mouth curved into a content smile. The llama?s fluffy, textured wool reinforces the card's uplifting theme.","Rows of stylized flowers with yellow centers and pink petals surround the llama, creating a balanced and joyful atmosphere. Green leaves and tulip-like plants add natural vibrancy to the base of the image.","The top half of the card features a soft lavender background, representing a clear, sunny day. The bottom half transitions to a golden-yellow ground, symbolizing warmth, growth, and stability.","Lighthearted and whimsical, with a playful pastel palette dominated by yellow, lavender, and green, creating a warm and positive atmosphere.","The card has no visible border, allowing the artwork to extend fully to the edges. At the top, the Roman numeral 'XIX' is printed in bold yellow, and the title 'THE SUN' appears at the bottom in a playful lavender-colored font.","Themes of joy, clarity, and the promise of success. The serene llama and radiant sun symbolize simplicity, warmth, and contentment, while the flowers and natural elements evoke growth and renewal.","Happiness, success, and positivity. A period of clarity and renewal, with a sense of harmony and joy in 1?s life.",Temporary setbacks or challenges in achieving clarity or joy. A reminder to seek the bright side and maintain optimism despite difficulties.,"['Joy', 'Clarity', 'Positivity', 'Success', 'Renewal']","The sun represents clarity and vitality, while the serene llama embodies peace and simplicity. The pastel colors and floral elements reflect renewal, growth, and harmony.","[""The Sun""]"
Judgement,"The card is dominated by a swirling blend of purple and blue hues, creating a dreamy, ethereal background. A spectral, bird-like figure emerges from the center, resembling both a bird in flight and a ghostly apparition.","A spectral bird-like figure gracefully extends upward from the card?s center, its form appearing both ethereal and dynamic. Flames in soft pinks and purples rise from the lower part of the card, symbolic of transformation and purification.","The swirling purple and blue background sets a reflective and mysterious tone, while the flames provide a contrasting warmth, representing a balance between destruction and renewal.","A dreamy, watercolor-like blend of purple and blue dominates the card, creating a reflective, otherworldly atmosphere.","Abstract and ethereal, with a watercolor-like design that lends the card an almost otherworldly quality. The soft yet bold contrasts emphasize transformation and reflection.","The word 'JUDGEMENT' is boldly stenciled at the bottom in uppercase, using a modern, cutout-style font that reinforces the card's theme of reckoning.","Themes of self-assessment, spiritual awakening, and accountability. The bird-like figure symbolizes liberation and transcendence, while the flames signify a cleansing process. The card urges transformation and the acceptance of personal truths.","Self-assessment, spiritual awakening, and facing the consequences of 1?s actions. A call to embrace transformation and make peace with the past.","Doubt, fear of change, or avoidance of responsibility. A resistance to self-reflection and a failure to heed an inner calling.","['Awakening', 'Accountability', 'Transformation', 'Reflection', 'Renewal']","The bird-like figure represents liberation and transcendence, while the flames emphasize cleansing and renewal. The swirling background highlights the reflective and transformative nature of this card.","[""Judgement""]"
The World,"A cherubic child is seated on a large green sphere with fine concentric lines, representing the world or the cosmos. The dynamic pose and serene expression of the child create a classical, Renaissance-inspired aesthetic.","The child is nude with a pinkish hue to their skin, holding an hourglass in 1 raised hand while balancing on the sphere with the other. Their short, curly hair and upward gaze suggest contemplation of the heavens or eternity.","A flowing dark fabric draped over the child?s back billows elegantly behind them, adding movement and grace to the composition.","The rich, deep red background with subtle texture evokes warmth and grandeur, complementing the central figure.","Classical and Renaissance-inspired, with fine details and a harmonious color palette of reds, greens, and cream tones.","In the upper left corner, the number '39' is hand-drawn within a cream-colored circle. At the bottom, the title 'Le Monde' is written in delicate, serif-style black lettering on a cream band that integrates seamlessly into the design.","Themes of harmony, completeness, and the unity of heaven and earth. The hourglass symbolizes the passage of time and the cyclical nature of existence, while the red background and flowing fabric evoke vitality and the life force driving the world?s motion.","Fulfillment, completion, and unity. A sense of wholeness and accomplishment as 1 reaches the end of a significant journey.","Delays, incompleteness, or feeling stuck. A challenge to fully embrace closure or see the bigger picture in life?s cycles.","['Completion', 'Fulfillment', 'Unity', 'Cycles', 'Harmony']","The cherub represents innocence and harmony, the sphere symbolizes the unity of heaven and earth, and the hourglass emphasizes the cyclical nature of time. The rich red background reflects vitality and passion, while the flowing fabric signifies elegance and motion.","[""The World""]"
Ace of Cups,"A vibrant golden cup with simple geometric patterns etched in orange dominates the card. From the cup?s brim, ribbons of flowing water rise upward, evoking boundless emotion and spiritual energy.","A vibrant golden chalice with orange geometric patterns, radiating energy and light. The cup emits flowing blue streams of energy or liquid, evoking a sense of motion and vitality.","A colorful pedestal supporting the chalice, blending pink, purple, and teal hues. The card's minimalist design emphasizes the chalice and its radiant streams, with a white background creating a sense of purity and focus.","The minimalistic white background highlights the cup?s golden glow and the delicate pastel hues of the water, lending the card a sense of clarity and purity.","Modern and sleek, with clean lines and a soft, ethereal palette emphasizing simplicity.","No text or defined border, allowing the focus to remain on the central imagery.","The mood is 1 of peace, receptivity, and openness, inviting the querent to explore their emotional depth.","Represents new emotional beginnings, fulfillment, and the awakening of love and intuition.","May indicate emotional blockages, stagnation, or difficulty expressing feelings.","['Love', 'Fulfillment', 'Intuition', 'New Beginnings', 'Harmony']",The flowing water ribbons suggest connection between inner emotions and higher spiritual consciousness.,"[""Ace Of Cups"", ""The Ace Of Cups"", ""Cups Of Ace"", ""The Ace Cups"", ""Cups Ace"", ""Ace Cups""]"
2 of Cups,"2 figures, 1 male and 1 female, stand facing each other, each holding a cup. Above them is a caduceus with a lion's head and wings, symbolizing harmony and partnership. The setting is serene, with a distant landscape visible in the background.","The 2 individuals form the focal point, their gazes and cups meeting in mutual respect and balance.","Above the figures, the caduceus with a lion’s head and wings symbolizes unity, healing, and balance.","The background features a simple, pastoral scene with rolling hills and distant buildings or trees, adding a sense of tranquility.","A black-and-white illustration with fine, intricate linework, giving the card a classical and timeless feel.","The Roman numeral 'II' appears above the figures, with a white border framing the scene.","The card radiates themes of connection, harmony, and mutual respect, symbolized by the joined cups and the unifying caduceus.","Partnership, love, harmony, mutual respect, and cooperation.","Imbalance, disharmony, breakups, or lack of connection.","['Partnership', 'Love', 'Harmony', 'Respect', 'Connection']","The intertwined caduceus and lion’s head represent the balance and strength of a meaningful connection, while the meeting of cups symbolizes shared emotion and union.","[""The 2 of Cups"", ""Two of Cups"", ""2 Cups"", ""2 Of Cups"", ""2 of Cups"", ""Cups Of 2"", ""The 2 Cups"", ""The Two of Cups"", ""Cups 2"", ""The 2 Of Cups""]"
3 of Cups,"3 cats are gathered in a joyous celebration, each holding a cup aloft in a toast. The scene is dynamic, with floral accents and a sense of camaraderie.","The 3 cats, adorned with flowers and in celebratory poses, symbolize community and joy.",Flowers and swirling designs around the cats enhance the festive and whimsical atmosphere.,The background is minimal but includes subtle decorative elements that add depth and movement to the scene.,"A playful black-and-white illustration with expressive linework, capturing a sense of energy and celebration.","The Roman numeral 'III' is centered below the illustration, with a thin black border framing the card.","The card radiates themes of celebration, friendship, and shared happiness.","Friendship, celebration, community, and joy.","Overindulgence, isolation, or disharmony within a group.","['Friendship', 'Celebration', 'Community', 'Joy', 'Camaraderie']",The 3 cats and their raised cups represent the bonds of friendship and the joy of coming together to celebrate shared achievements.,"[""3 Of Cups"", ""Three of Cups"", ""The Three of Cups"", ""3 of Cups"", ""Cups Of 3"", ""The 3 of Cups"", ""The 3 Of Cups"", ""Cups 3"", ""The 3 Cups"", ""3 Cups""]"
4 of Cups,"The card features a modern, monochromatic style in shades of black, white, and gray. Its bold, graphic aesthetic and stark, unsettling tone contrast with traditional tarot designs.","A figure dressed in a baseball uniform dominates the scene, with the number '4' printed on the sleeve and a patch labeled 'CUPS' featuring a chalice image. The player?s detached, vacant expression and smudged eyeliner contribute to a sense of emotional disconnection. A minimalist baseball cap with a solid circle emblem completes the look.","The player holds a chalice with a grotesque addition: an enormous eyeball protruding from the cup. The highly detailed eye features lashes, veins, and etched stars, adding a surreal, otherworldly touch. Dripping, viscous liquid flows from the chalice, emphasizing the unsettling theme.","A simple, abstract background with smoky gray gradients ensures the focus remains on the central figure and their surreal object.","Modern and monochromatic, with bold graphic lines and minimalistic yet unsettling elements. Shades of black, white, and gray dominate the palette.","The card is framed by a thick black border, amplifying its bold and graphic style. The number '4' is displayed in the top-left corner in a blocky font, while 'CUPS' is written in all caps at the bottom-right, with the 'U' shaped like a chalice.","Themes of apathy, disconnection, and surreal introspection. The grotesque chalice with the eyeball and the player?s indifferent expression highlight emotional detachment or refusal to engage with what?s being offered.","Apathy, discontent, and emotional stagnation. A need to reflect and reconsider 1?s emotional state, as new opportunities may be overlooked.",Emerging from apathy or a sense of renewed interest in opportunities. Overcoming emotional stagnation or disconnection.,"['Apathy', 'Disconnection', 'Introspection', 'Stagnation', 'Renewal']","The chalice with the eyeball represents an unsettling offer or opportunity, while the player?s demeanor emphasizes emotional detachment. The smoky background reflects an introspective and alienated mood.","[""4 of Cups"", ""4 Cups"", ""The 4 Of Cups"", ""Cups Of 4"", ""The 4 of Cups"", ""4 Of Cups"", ""The Four of Cups"", ""The 4 Cups"", ""Four of Cups"", ""Cups 4""]"
5 of Cups,"A figure stands solemnly near a stream with spilled cups scattered around them. The background shows a distant house and a bridge, symbolizing loss and potential recovery.","A melancholic figure dressed simply, symbolizing reflection and sorrow.","The scattered cups, some spilling water and others with flames, represent different emotions and their fleeting nature.","The background includes a flowing stream, a bridge, and a distant house surrounded by trees, suggesting pathways to healing and recovery.","A black-and-white illustration with stark contrasts, conveying a somber and introspective tone.","No visible text apart from the card title derived from its file name. The card has no borders, allowing the image to dominate.","The card reflects themes of loss, regret, and the opportunity to move forward despite setbacks.","Loss, disappointment, regret, and emotional setbacks.","Acceptance, recovery, and moving on from past sorrows.","['Loss', 'Regret', 'Recovery', 'Healing', 'Reflection']","The spilled cups signify emotional loss, while the bridge and house in the distance symbolize hope and the possibility of rebuilding.","[""Cups 5"", ""The Five of Cups"", ""The 5 Of Cups"", ""5 Cups"", ""The 5 of Cups"", ""Five of Cups"", ""Cups Of 5"", ""The 5 Cups"", ""5 Of Cups"", ""5 of Cups""]"
6 of Cups,"The card has a muted, hand-drawn style with earthy and subdued colors, consistent with classic tarot aesthetics. The border is thin and plain, drawing focus to the scene within.","3 broken umbrellas scattered across the foreground, torn with flapping fabric. Each umbrella features a different design: striped, solid, and checkered, all faded and worn.","Falling leaves and a swirling, gusty background suggest chaos and decay. A small, dark bird flying away in the top-right corner emphasizes a sense of abandonment or fleeing.","A windy, autumnal setting with uneven ground, scattered dry leaves, and swirling gray clouds suggesting an incoming storm.","Muted, hand-drawn style with earthy, subdued tones and a weathered, vintage appearance.","The border is pale and weathered, with no visible text or title, keeping the focus on the evocative illustration.","Themes of loss, disruption, and resilience. The umbrellas, though damaged, remain upright, symbolizing persistence despite turmoil.","Nostalgia, childhood memories, and revisiting the past. A time for sharing kindness and reconnecting with simpler, happier times.","Living in the past, clinging to outdated ideas, or struggling to move forward from old patterns.","['Nostalgia', 'Childhood', 'Memory', 'Kindness']","The broken umbrellas suggest remnants of the past and resilience in the face of emotional turmoil, while the bird flying away hints at letting go.","[""The Six of Cups"", ""Six of Cups"", ""The 6 Cups"", ""The 6 Of Cups"", ""6 Of Cups"", ""Cups 6"", ""6 Cups"", ""Cups Of 6"", ""The 6 of Cups"", ""6 of Cups""]"
