Card Name,Primary Keywords,Supporting Keywords,File Name,Variations
4 of Cups,"Baseball player holding a chalice with a mushroom, melancholic expression","Black-and-white illustration, surreal style, dripping water from the chalice",4_of_cups.jpg,"[""4 of Cups"", ""4 Cups"", ""The 4 Of Cups"", ""Cups Of 4"", ""The 4 of Cups"", ""4 Of Cups"", ""The Four of Cups"", ""The 4 Cups"", ""Four of Cups"", ""Cups 4""]"
5 of Cups,"Human figure in a desolate landscape, spilled cups, and fire-lit chalices","Monochrome black-and-white style, surreal atmosphere, dripping water motif",5_of_cups.jpg,"[""Cups 5"", ""The Five of Cups"", ""The 5 Of Cups"", ""5 Cups"", ""The 5 of Cups"", ""Five of Cups"", ""Cups Of 5"", ""The 5 Cups"", ""5 Of Cups"", ""5 of Cups""]"
6 of Cups,Umbrella creatures in the rain,"Playful and mystical, water theme",six_of_cups.jpg,"[""The Six of Cups"", ""Six of Cups"", ""The 6 Cups"", ""The 6 Of Cups"", ""6 Of Cups"", ""Cups 6"", ""6 Cups"", ""Cups Of 6"", ""The 6 of Cups"", ""6 of Cups""]"
7 of Cups,"seven golden cups, abstract arrangement, misty background","ethereal shapes, glowing edges",7_of_cups.jpg,"[""The Seven of Cups"", ""Cups Of 7"", ""The 7 of Cups"", ""The 7 Cups"", ""The 7 Of Cups"", ""Seven of Cups"", ""Cups 7"", ""7 Cups"", ""7 of Cups"", ""7 Of Cups""]"
8 of Cups,"eight cups, black and white clouds, geometric grid","vertical streaks, monochrome tones",8_of_cups.jpg,"[""8 Cups"", ""Eight of Cups"", ""The 8 of Cups"", ""8 of Cups"", ""The Eight of Cups"", ""The 8 Cups"", ""Cups Of 8"", ""The 8 Of Cups"", ""Cups 8"", ""8 Of Cups""]"
9 of Cups,"Nine goblets, symmetrical rows, red/blue/yellow palette, oval-shaped cups","Thin blue border, alternating designs, linear arrangement",9_of_cups.jpg,"[""Cups Of 9"", ""Cups 9"", ""The 9 of Cups"", ""9 of Cups"", ""The 9 Of Cups"", ""9 Cups"", ""The Nine of Cups"", ""Nine of Cups"", ""9 Of Cups"", ""The 9 Cups""]"
10 of Cups,"Circular rings, multicolored stripes, overlapping pattern, watercolor texture","Pastel colors, handwritten text, organic design",10_of_cups.jpg,"[""The 10 Of Cups"", ""Ten of Cups"", ""The 10 of Cups"", ""10 of Cups"", ""The Ten of Cups"", ""10 Of Cups"", ""10 Cups"", ""The 10 Cups"", ""Cups 10"", ""Cups Of 10""]"
Page of Cups,"Red-haired figure, Golden cup, Ornate clothing, Side profile","Structured pose, Medieval style, White and gold tones",page_of_cups.jpg,"[""Page Cups"", ""The Page Cups"", ""Cups Page"", ""Page Of Cups"", ""Cups Of Page"", ""The Page Of Cups""]"
Knight of Cups,"Winged statue, Flowing garments, Golden goblet, Bold color blocks, Abstract background","Feather, Poised stance, Bird on hand, Layered textures",knight_of_cups.jpg,"[""The Knight Of Cups"", ""Cups Knight"", ""The Knight Cups"", ""Knight Cups"", ""Cups Of Knight"", ""Knight Of Cups""]"
Queen of Cups,"Woman with crown, Cosmic background, Flowing water, Goldfish","Spiral patterns, Celestial dress, Radiant colors",queen_of_cups.jpg,"[""Cups Queen"", ""Queen Cups"", ""Cups Of Queen"", ""The Queen Of Cups"", ""The Queen Cups"", ""Queen Of Cups""]"
King of Cups,"Seated king holding a cup, Crown with intricate design, Blue robe","Throne with armrests, Yellow boots, Ornate detailing",king_of_cups.jpg,"[""Cups King"", ""The King Of Cups"", ""King Of Cups"", ""King Cups"", ""The King Cups"", ""Cups Of King""]"
3 of Pentacles,"Architectural setting with three pentacles, an artist presenting work, a monk, and a noble observing","Gothic arch design, collaborative effort, medieval attire",3_of_pentacles.jpg,"[""The 3 of Pentacles"", ""The Three of Pentacles"", ""3 of Pentacles"", ""Three of Pentacles"", ""Pentacles 3"", ""The 3 Of Pentacles"", ""3 Pentacles"", ""The 3 Pentacles"", ""3 Of Pentacles"", ""Pentacles Of 3""]"
7 of Pentacles,"seven pentacles, black and blue background, floral design","golden star patterns, symmetrical layout",7_of_pentacles.jpg,"[""The 7 Of Pentacles"", ""The 7 of Pentacles"", ""The Seven of Pentacles"", ""The 7 Pentacles"", ""7 Of Pentacles"", ""7 Pentacles"", ""Pentacles Of 7"", ""Seven of Pentacles"", ""7 of Pentacles"", ""Pentacles 7""]"
8 of Pentacles,"eight golden pentacles, vibrant red mountains, nude figure with outstretched arms, deep blue background","circular arrangement of pentacles, orange-red hair on the figure, subtle gradient in the background",8_of_pentacles.jpg,"[""8 Of Pentacles"", ""The Eight of Pentacles"", ""8 Pentacles"", ""The 8 of Pentacles"", ""Pentacles 8"", ""The 8 Pentacles"", ""8 of Pentacles"", ""Eight of Pentacles"", ""The 8 Of Pentacles"", ""Pentacles Of 8""]"
Queen of Pentacles,"Smiling woman, Warm tones, Surrounded by food and family, Golden halo","Rustic charm, Nurturing energy, Joyful atmosphere",queen_of_pentacles.jpg,"[""The Queen Pentacles"", ""Pentacles Of Queen"", ""The Queen Of Pentacles"", ""Pentacles Queen"", ""Queen Of Pentacles"", ""Queen Pentacles""]"
Ace of Swords,"Large sword, colorful background, crown design, movement energy","Figure holding sword, mystical patterns, bold imagery",ace_of_swords.jpg,"[""Ace Of Swords"", ""Ace Swords"", ""Swords Ace"", ""The Ace Swords"", ""The Ace Of Swords"", ""Swords Of Ace""]"
2 of Swords,"Guillotine-like structure, balanced beams, Roman numeral 'II' symbol, mountainous background","Greenish tones, ribbon-like element, dark sky, subtle wood textures",2_of_swords.jpg,"[""Two of Swords"", ""2 Of Swords"", ""Swords 2"", ""Swords Of 2"", ""The 2 Swords"", ""The 2 Of Swords"", ""2 of Swords"", ""The 2 of Swords"", ""The Two of Swords"", ""2 Swords""]"
3 of Swords,"Heart pierced by three swords, fiery and stormy background, fragmented imagery","Abstract style, bold colors, red and purple tones",3_of_swords.jpg,"[""3 Swords"", ""3 of Swords"", ""The 3 Swords"", ""The 3 of Swords"", ""The 3 Of Swords"", ""The Three of Swords"", ""Swords 3"", ""3 Of Swords"", ""Swords Of 3"", ""Three of Swords""]"
4 of Swords,"Four figures with swords, stylized minimalist design","Symmetry, soft pastel colors, whimsical tone",4_of_swords.jpg,"[""Four of Swords"", ""4 Swords"", ""The 4 of Swords"", ""The 4 Swords"", ""The Four of Swords"", ""Swords 4"", ""The 4 Of Swords"", ""4 Of Swords"", ""4 of Swords"", ""Swords Of 4""]"
5 of Swords,Root-like structure with swords,Dark blue and red tones,five_of_swords.jpg,"[""Swords Of 5"", ""5 Of Swords"", ""The 5 Swords"", ""The 5 Of Swords"", ""5 of Swords"", ""The 5 of Swords"", ""Swords 5"", ""5 Swords"", ""Five of Swords"", ""The Five of Swords""]"
6 of Swords,"robotic figure, child with spacesuit, six swords in background","journey, guidance, calm waters, hopeful transition",6_of_swords.jpg,"[""The 6 Of Swords"", ""The Six of Swords"", ""The 6 Swords"", ""The 6 of Swords"", ""6 Of Swords"", ""Swords 6"", ""Six of Swords"", ""6 Swords"", ""6 of Swords"", ""Swords Of 6""]"
7 of Swords,"figure carrying swords, stealthy pose, cartoon style","angular lines, detailed facial expression",7_of_swords.jpg,"[""The 7 of Swords"", ""7 Of Swords"", ""7 Swords"", ""Swords 7"", ""The Seven of Swords"", ""The 7 Of Swords"", ""Seven of Swords"", ""Swords Of 7"", ""The 7 Swords"", ""7 of Swords""]"
8 of Swords,"Blindfolded woman, surrounded by swords, dark red background, crescent ground","Halo behind head, flowing dress, Roman numeral VIII",8_of_swords.jpg,"[""Swords Of 8"", ""The Eight of Swords"", ""8 Swords"", ""The 8 Of Swords"", ""The 8 Swords"", ""8 Of Swords"", ""Swords 8"", ""The 8 of Swords"", ""Eight of Swords"", ""8 of Swords""]"
9 of Swords,"Distressed figure, nine swords, blue/yellow scheme, blood on blades","Open window, spiraling patterns, dynamic motion",9_of_swords.jpg,"[""Nine of Swords"", ""Swords 9"", ""9 of Swords"", ""The 9 Swords"", ""The 9 Of Swords"", ""The 9 of Swords"", ""Swords Of 9"", ""9 Swords"", ""9 Of Swords"", ""The Nine of Swords""]"
10 of Swords,"Figure with scissors, red/black color scheme, large red moon, angular design","Flowing hair, minimal text, jagged composition",10_of_swords.jpg,"[""Swords 10"", ""The 10 Of Swords"", ""Ten of Swords"", ""The 10 Swords"", ""The 10 of Swords"", ""10 Of Swords"", ""The Ten of Swords"", ""10 of Swords"", ""Swords Of 10"", ""10 Swords""]"
Page of Swords,"Fish-headed figure, Tattered clothing, Post-apocalyptic background, Skeletal remains","Sun and moon motifs, Rugged staff, Gritty textures",page_of_swords.jpg,"[""Page Swords"", ""The Page Swords"", ""Swords Of Page"", ""Swords Page"", ""Page Of Swords"", ""The Page Of Swords""]"
Knight of Swords,"Sword raised, Ornate horse, Patterned background, Flowing gown","Floral motifs, Golden tones, Decorative saddle",knight_of_swords.jpg,"[""Knight Of Swords"", ""The Knight Of Swords"", ""Swords Of Knight"", ""The Knight Swords"", ""Swords Knight"", ""Knight Swords""]"
Queen of Swords,"Skeleton queen, Ornate crown, Holding a sword and book, Dark background","Triangular symbol, Celestial undertones, Gothic style",queen_of_swords.jpg,"[""Swords Queen"", ""Queen Swords"", ""The Queen Swords"", ""Queen Of Swords"", ""Swords Of Queen"", ""The Queen Of Swords""]"
King of Swords,"Crowned figure, Sword held upright, Seated on a throne, Robes with red and green accents, Ornate armrest or carved structure","Neutral background, Facial expression of authority, Crossed legs, Gold and beige tones",king_of_swords.jpg,"[""The King Of Swords"", ""Swords King"", ""King Of Swords"", ""The King Swords"", ""Swords Of King"", ""King Swords""]"
Ace of Wands,"Robotic hand, orange swirling sky, futuristic style, black border","Bold text, metallic wand, dynamic background",ace_of_wands.jpg,"[""The Ace Wands"", ""Wands Ace"", ""Ace Wands"", ""Wands Of Ace"", ""Ace Of Wands"", ""The Ace Of Wands""]"
2 of Wands,"Backpack, map with marked paths, walking stick (wand), suit of clubs symbols","Black textured background, red accents on fasteners and wand, banner reading 'Two of Wands'",2_of_wands.jpg,"[""Wands Of 2"", ""2 Of Wands"", ""Wands 2"", ""The 2 Wands"", ""The 2 Of Wands"", ""Two of Wands"", ""The Two of Wands"", ""2 Wands"", ""2 of Wands"", ""The 2 of Wands""]"
3 of Wands,"Three peacock feathers, cosmic background, deity figure with a third eye","Ethereal blue tones, mystical aura, celestial motifs",3_of_wands.jpg,"[""The 3 Of Wands"", ""The 3 Wands"", ""Wands 3"", ""Wands Of 3"", ""3 of Wands"", ""3 Wands"", ""The Three of Wands"", ""Three of Wands"", ""3 Of Wands"", ""The 3 of Wands""]"
5 of Wands,Classic tarot with crossed wands,"Colorful leaves, symmetrical pattern",five_of_wands.jpg,"[""Wands Of 5"", ""Five of Wands"", ""Wands 5"", ""The Five of Wands"", ""The 5 Of Wands"", ""The 5 Wands"", ""The 5 of Wands"", ""5 of Wands"", ""5 Wands"", ""5 Of Wands""]"
6 of Wands,"figure on horseback, laurel wreath, victory pose, purple and blue colors","recognition, achievement, triumph",6_of_wands.jpg,"[""The 6 Wands"", ""6 Of Wands"", ""6 of Wands"", ""6 Wands"", ""Six of Wands"", ""The 6 Of Wands"", ""The Six of Wands"", ""Wands Of 6"", ""Wands 6"", ""The 6 of Wands""]"
7 of Wands,"figure holding a wand, mountainous backdrop, defensive posture","bright highlights, lightning effects",7_of_wands.jpg,"[""Seven of Wands"", ""7 Wands"", ""The Seven of Wands"", ""Wands Of 7"", ""7 Of Wands"", ""The 7 of Wands"", ""The 7 Wands"", ""Wands 7"", ""The 7 Of Wands"", ""7 of Wands""]"
8 of Wands,Eight parallel wands forming a ladder or staircase shape; Large blue ribbon at the top tied in a bow; Light beige background with a simple border,Flames in red at the bottom; Small abstract shapes in red and blue near the flames; Minimalist illustration style,8_of_wands.jpg,"[""The 8 Wands"", ""The Eight of Wands"", ""8 Wands"", ""Wands Of 8"", ""8 of Wands"", ""8 Of Wands"", ""The 8 Of Wands"", ""Wands 8"", ""Eight of Wands"", ""The 8 of Wands""]"
10 of Wands,"Bundle of wands, starry sky, decorative basket, brown/gold palette","Tiny flowers, rustic border, natural design",10_of_wands.jpg,"[""The 10 Of Wands"", ""The Ten of Wands"", ""10 of Wands"", ""Wands 10"", ""Wands Of 10"", ""The 10 of Wands"", ""Ten of Wands"", ""10 Of Wands"", ""The 10 Wands"", ""10 Wands""]"
Page of Wands,"Red plumed hat, Shield with emblem, Vibrant clothing, Standing pose","Heraldic imagery, Feathered helmet, Medieval style",page_of_wands.jpg,"[""Wands Page"", ""The Page Of Wands"", ""The Page Wands"", ""Page Wands"", ""Wands Of Page"", ""Page Of Wands""]"
Knight of Wands,"Rider with hat, Orange and red tones, Horse with distinct face, Upright wand","Bold lines, Abstract foliage, Medieval style",knight_of_wands.jpg,"[""The Knight Of Wands"", ""Knight Of Wands"", ""The Knight Wands"", ""Wands Of Knight"", ""Wands Knight"", ""Knight Wands""]"
Queen of Wands,"Woman with sleek hair, Ornate wand, Vibrant colors, Regal pose","Golden embellishments, Confident demeanor, Artistic flair",queen_of_wands.jpg,"[""Wands Queen"", ""Queen Wands"", ""The Queen Of Wands"", ""The Queen Wands"", ""Queen Of Wands"", ""Wands Of Queen""]"
King of Wands,"Floral crown, Black background, Intricate line art, Symmetrical design, Bold contrast","Stylized lilies, Ornamental crown, White outline",king_of_wands.jpg,"[""King Wands"", ""The King Of Wands"", ""Wands King"", ""Wands Of King"", ""King Of Wands"", ""The King Wands""]"
2 of Whips,"Two tall, pillar-like rods, intertwined ribbon or whip-like elements, decorative banner with Latin text","Black-and-white line art style, ornate and symmetrical layout, abstract flame shapes on ribbons",2_of_whips.jpg,"[""Whips Of 2"", ""The 2 of Whips"", ""The 2 Whips"", ""The Two of Whips"", ""Whips 2"", ""2 of Whips"", ""The 2 Of Whips"", ""2 Of Whips"", ""2 Whips"", ""Two of Whips""]"
8 of Tentacles,"octopus-like figure with visible tentacles, muscular arm reaching upward, textured brown and orange tones, soft cloudy background","prominent tentacle suction cups, shadowed earthy palette, faint water ripple effects",8_of_tentacles.jpg,"[""The 8 of Tentacles"", ""The 8 Tentacles"", ""8 of Tentacles"", ""Tentacles 8"", ""Eight of Tentacles"", ""The 8 Of Tentacles"", ""The Eight of Tentacles"", ""8 Of Tentacles"", ""8 Tentacles"", ""Tentacles Of 8""]"
3 of Books,"Tree with books as fruits, open and closed books, anthropomorphic animal (wolf-like) teaching with a pointer","Goose-like students, alphabet on a board, monochrome illustration, whimsical and satirical style",3_of_books.jpg,"[""The 3 Of Books"", ""3 of Books"", ""Three of Books"", ""Books 3"", ""The 3 of Books"", ""The 3 Books"", ""3 Books"", ""Books Of 3"", ""The Three of Books"", ""3 Of Books""]"
10 of Eyes,"Figure with eyes, yellow sun, minimalist white background, abstract form","Rectangular border, blue/yellow accents, Roman numeral II",10_of_eyes.jpg,"[""10 Eyes"", ""Eyes 10"", ""10 Of Eyes"", ""Eyes Of 10"", ""10 of Eyes"", ""The 10 of Eyes"", ""The 10 Eyes"", ""The 10 Of Eyes"", ""The Ten of Eyes"", ""Ten of Eyes""]"
2 of Pentacles,"Two pentacles, floral designs, ornamental patterns","Red and gold tones, decorative leaves, symmetrical layout",2_of_pentacles.jpg,"[""Two of Pentacles"", ""Pentacles Of 2"", ""2 of Pentacles"", ""2 Pentacles"", ""Pentacles 2"", ""The Two of Pentacles"", ""The 2 of Pentacles"", ""The 2 Pentacles"", ""2 Of Pentacles"", ""The 2 Of Pentacles""]"
4 of Coins,"Four coins, numeral 'IV', geometric designs, vibrant colors","Abstract patterns, swirling lines, neon red and blue tones",4_of_coins.jpg,"[""4 Of Coins"", ""Coins Of 4"", ""The 4 of Coins"", ""The 4 Coins"", ""Coins 4"", ""The Four of Coins"", ""4 Coins"", ""4 of Coins"", ""The 4 Of Coins"", ""Four of Coins""]"
4 of Keys,"Wooden door with keyhole, surrounded by four ornate keys, stone wall background","Dark setting, rustic design, gothic theme",4_of_keys.jpg,"[""The 4 Keys"", ""The 4 of Keys"", ""Four of Keys"", ""Keys Of 4"", ""The 4 Of Keys"", ""4 Keys"", ""Keys 4"", ""4 Of Keys"", ""The Four of Keys"", ""4 of Keys""]"
5 of Disks,Pixelated yellow and red design,"Winter setting, geometric patterns",five_of_disks.jpg,"[""5 Of Disks"", ""Disks Of 5"", ""The 5 Of Disks"", ""The 5 Disks"", ""5 of Disks"", ""The Five of Disks"", ""Five of Disks"", ""The 5 of Disks"", ""5 Disks"", ""Disks 5""]"
5 of Mirrors,Pastel and dreamy theme,"Heart shapes, reflective mirrors",five_of_mirrors.jpg,"[""Mirrors Of 5"", ""Mirrors 5"", ""The 5 Of Mirrors"", ""The 5 Mirrors"", ""5 of Mirrors"", ""The Five of Mirrors"", ""The 5 of Mirrors"", ""5 Mirrors"", ""Five of Mirrors"", ""5 Of Mirrors""]"
6 of Inking Balls,"Umbrella-like figures with eyes, raining ink, whimsical and surreal design","Rain imagery, cups collecting ink, abstract surrealism",6_of_inking_balls.jpg,"[""6 of Inking Balls"", ""Six of Inking Balls"", ""The 6 of Inking Balls"", ""The Six of Inking Balls""]"
7 of Bells,"bells arranged in a pattern, ethereal figure, golden background","spiritual balance, harmony, mystical symbolism",7_of_bells.jpg,"[""The 7 Bells"", ""7 of Bells"", ""7 Bells"", ""The 7 Of Bells"", ""Bells Of 7"", ""7 Of Bells"", ""The Seven of Bells"", ""Seven of Bells"", ""Bells 7"", ""The 7 of Bells""]"
9 of Coins,"Stack of coins, red flames, golden palette, central pedestal","Blue sky, kneeling figure, marble border",9_of_coins.jpg,"[""The 9 Coins"", ""9 of Coins"", ""The Nine of Coins"", ""Nine of Coins"", ""The 9 Of Coins"", ""9 Of Coins"", ""The 9 of Coins"", ""Coins 9"", ""9 Coins"", ""Coins Of 9""]"
9 of Clocks,"Multiple clocks, central blue-faced clock, orange border, clustered clocks","Roman numerals, mixed analog designs, dark wood background",9_of_clocks.jpg,"[""Clocks 9"", ""9 of Clocks"", ""Nine of Clocks"", ""The 9 of Clocks"", ""The 9 Clocks"", ""Clocks Of 9"", ""The Nine of Clocks"", ""9 Of Clocks"", ""9 Clocks"", ""The 9 Of Clocks""]"
Bone Fire,"Jawbone shape, text and map details, black background","Natural bone texture, abstract design, blue highlights",bone_fire.jpg,"[""Bone Fire""]"
Dagaz,"Rune-like symbol, blue/white patterns, purple woven border","Embroidery design, central square, balanced composition",dagaz.jpg,"[""Dagaz""]"
Death (Blood),"Skeleton riding horse, red plume, aged texture, dark linework","Minimalist design, bold red accent, earthy tones",death_(blood).jpg,"[""Death (Blood"")]; [""Death(blood"")]; [""Death(Blood"")]"
Death (Fire),"Silhouette of cloaked figure, Fiery red and orange sky, Ruined castle","Mist or fog in foreground, Dead trees, Roman numeral XIII",death_(fire).jpg,"[""Death (Fire"")]; [""Death(fire"")]; [""Death(Fire"")]"
Death (Motel),"Neon skull with sunglasses, Blue motel sign, Starry night sky","Catchphrase 'Stay for a good time not a long time', Roman numeral XIII",death_(motel).jpg,"[""Death (Motel"")]; [""Death(motel"")]; [""Death(Motel"")]"
Death (Rebirth),"Hooded figure, Bird-headed scythe, Outstretched hand with owl","Ocean background, Blue sky, Roman numeral XIII",death_(rebirth).jpg,"[""Death (Rebirth"")]; [""Death(rebirth"")]; [""Death(Rebirth"")]"
Death (Shovel),"Skeleton holding a red shovel, Dancing pose, Stone-covered ground","Roman numeral XIII, Torn clothes, Simplistic border",death_(shovel).jpg,"[""Death (Shovel"")]; [""Death(shovel"")]; [""Death(Shovel"")]"
Death (Sowing),"Skeleton with scythe, Crops being cut, Yellow field","Roman numeral XIII, Blue sky, Simplistic figure design",death_(sowing).jpg,"[""Death (Sowing"")]; [""Death(sowing"")]; [""Death(Sowing"")]"
Death (dancing),"Skeleton, Flowing red cloth, Dancing pose","Yellow background, Grass at base, Insect (lower left)",death_(dancing).jpg,"[""Death (Dancing"")]; [""Death (dancing"")]; [""Death (Dancing"")]; [""Death(dancing"")]; [""Death(Dancing"")]"
Death (riding),"Skeleton on horseback, Gold background, Figures lying on the ground","Orange robe, Flowing banner, Roman numeral XIII",death_(riding).jpg,"[""Death (Riding"")]; [""Death (riding"")]; [""Death (Riding"")]; [""Death(riding"")]; [""Death(Riding"")]"
Deconsecration,"Draped figure, Tower ruins, Starry night sky","Mushrooms at the base, Hanging bells, Simplistic black and white art",deconsecration.jpg,"[""Deconsecration""]"
Devil Ii,"Red demon figure with wings, Torch in hand, Golden background","Chained figures, Roman numeral XV, Decorative border",devil_ii.jpg,"[""Devil Ii""]"
Father Sleep,"Green figure with wings, Pink sun, Yellow crescent moon","Abstract text background, Dark border, Contrasting colors",father_sleep.jpg,"[""Father Sleep""]"
Frost,"White snowflake symbol, Mountain background","Monochrome style, 'Frost' text in bold font",frost.jpg,"[""Frost""]"
Hope (L'Esperence),"Woman standing on an anchor, Flowing red and blue dress, Ocean background","Stormy sky, Roman numeral VIII, Delicate pose",hope_(l'esperence).jpg,"[""Hope (L'Esperence)""]; [""Hope(l'esperence)""]; [""Hope(L'esperence)""]"
Joker,"Woman playing a lyre, Crescent moon in the sky, Starry background","Seated on a rock, Flowing hair, Black and white illustration",joker.jpg,"[""Joker""]"
Lightning in a Bottle,"Glass bottle with lightning, Golden frame, Industrial background, Structured design","Mechanical elements, Golden tones, Art deco framing, Reflective highlights",lightning_in_a_bottle.jpg,"[""Lightning In A Bottle""]"
Lightning in a Bottle (TM),"Glass bottle with lightning, Fantastical framing, Abstract background, Unique branding","Stylized lettering, Golden embellishments, Reflective glass, Lightning details",lightning_in_a_bottle_(TM).jpg,"[""Lightning In A Bottle (Tm"")]; [""Lightning In A Bottle(tm"")]; [""Lightning In A Bottle(Tm"")]"
Misery,"Misero, Bare figure, Tattered clothing, Leaning on staff, Crumbled walls","Emaciated form, Barren environment, Stray animals, Etched style",misery.jpg,"[""Misery""]"
Ouroboros,"Pixelated snake, Looped figure-eight, Black background, Green grid","Minimalist design, Red eye, Digital theme",ouroboros.jpg,"[""Ouroboros""]"
Page of Pentacles,"Alien-like figure, Pink and green tones, Pentacle symbol, Playful stars","Comic style, Whimsical colors, Cosmic energy",page_of_pentacles.jpg,"[""The Page Pentacles"", ""The Page Of Pentacles"", ""Pentacles Page"", ""Page Of Pentacles"", ""Page Pentacles"", ""Pentacles Of Page""]"
Queen of Strays,"Crowned cat, Crate labeled 'Queen of Strays', Animals in background","Playful theme, Cozy setting, Collage style",queen_of_strays.jpg,"[""Queen Strays"", ""The Queen Of Strays"", ""The Queen Strays"", ""Queen Of Strays"", ""Strays Queen"", ""Strays Of Queen""]"
Ace of Disks,"Tiger face, yellow sunburst, bold colors, symbolic elements","Red hand, intricate border, playful imagery",ace_of_disks.jpg,"[""The Ace Disks"", ""Disks Of Ace"", ""Disks Ace"", ""Ace Of Disks"", ""The Ace Of Disks"", ""Ace Disks""]"
The Ace of Hounds,"slender hound sitting, red background, green foreground","golden border, detailed grass, calm posture",the_ace_of_hounds.jpg,"[""Hounds Of Ace"", ""The Ace Hounds"", ""Ace Hounds"", ""The Ace Of Hounds"", ""Hounds Ace"", ""Ace Of Hounds""]"
The Alley,"narrow alleyway, neon signs, dark atmosphere","bicycle, glowing lanterns, visible signage",the_alley.jpg,"[""The Alley""]"
The Battle,"rabbit and wolf facing off, vibrant red and teal colors, sword clashing","blood splatter, sharp teeth, dramatic composition",the_battle.jpg,"[""The Battle""]"
The Black Moon,"large black moon, arched doorway, figure falling backward","green waves, layered background, surreal composition",the_black_moon.jpg,"[""The Black Moon""]"
The Bogeyman,"skeletal figure, red cloak, circular golden halo","skull face, wilted plants, dark background",the_bogeyman.jpg,"[""The Bogeyman""]"
The Comforter,"seated woman, holding a white rabbit, intricate wicker chair","trees in background, wooden table, warm tones",the_comforter.jpg,"[""The Comforter""]"
The Empty,"minimalist design, pure white background, faint circle in center","clean aesthetic, simple frame, abstract concept",the_empty.jpg,"[""The Empty""]"
